iter	Passed	Remaining
856	15308	2554
857	15316	2534
858	15326	2515
859	15334	2496
860	15342	2476
861	15351	2457
862	15359	2438
863	15368	2419
864	15376	2399
865	15384	2380
866	15392	2361
867	15401	2342
868	15409	2322
869	15419	2304
870	15429	2285
871	15437	2266
872	15447	2247
873	15458	2228
874	15468	2209
875	15478	2191
876	15488	2172
877	15498	2153
878	15508	2134
879	15518	2116
880	15528	2097
881	15537	2078
882	15548	2060
883	15558	2041
884	15569	2023
885	15579	2004
886	15588	1985
887	15599	1967
888	15609	1949
889	15617	1930
890	15625	1911
891	15634	1892
892	15642	1874
893	15651	1855
894	15660	1837
895	15668	1818
896	15676	1800
897	15684	1781
898	15693	1763
899	15703	1744
900	15711	1726
901	15719	1707
902	15727	1689
903	15735	1671
904	15744	1652
905	15753	1634
906	15764	1616
907	15773	1598
908	15781	1579
909	15789	1561
910	15797	1543
911	15806	1525
912	15815	1507
913	15823	1488
914	15831	1470
915	15839	1452
916	15847	1434
917	15855	1416
918	15864	1398
919	15872	1380
920	15881	1362
921	15889	1344
922	15898	1326
923	15906	1308
924	15915	1290
925	15923	1272
926	15931	1254
927	15940	1236
928	15948	1218
929	15957	1201
930	15965	1183
931	15974	1165
932	15985	1147
933	15995	1130
934	16003	1112
935	16011	1094
936	16019	1077
937	16028	1059
938	16037	1041
939	16045	1024
940	16054	1006
941	16063	989
942	16074	971
943	16083	954
944	16093	936
945	16101	919
946	16109	901
947	16117	884
948	16125	866
949	16138	849
950	16147	831
951	16155	814
952	16163	797
953	16171	779
954	16181	762
955	16190	745
956	16198	727
957	16206	710
958	16214	693
959	16223	675
960	16231	658
961	16239	641
962	16248	624
963	16256	607
964	16264	589
965	16274	572
966	16282	555
967	16291	538
968	16299	521
969	16308	504
970	16317	487
971	16325	470
972	16333	453
973	16341	436
974	16349	419
975	16358	402
976	16366	385
977	16375	368
978	16385	351
979	16394	334
980	16404	317
981	16413	300
982	16422	284
983	16431	267
984	16441	250
985	16451	233
986	16462	216
987	16476	200
988	16490	183
989	16503	166
990	16516	149
991	16528	133
992	16541	116
993	16555	99
994	16568	83
995	16625	66
996	16637	50
997	16647	33
998	16664	16
999	16676	0
